X,Y,Omega,Omegadt,Theta,Thetadt,Psi,d,T
2.2777482026084654,-0.0089793015834987305,-0.0013888432376962185,0.014857726996808636,-0.012795012091550883,0.034040275433730914,0.0,-0.02,0
2.3055244780741986,-0.0092681952028750621,-0.0012402659677281322,0.014780261147905616,-0.012454609337213573,0.030398675679611152,0.0,-0.02,0
2.3333007200526819,-0.0095602907768657444,-0.0010924633562490759,0.016563583856639613,-0.012150622580417462,0.23031768691532528,0.0,0.02,2
2.3610769290804052,-0.0098555031069480839,-0.00092682751768267979,0.015341538620078421,-0.0098474457112642088,0.22625798498967831,0.0,-0.02,0
2.3888531056246682,-0.01015375610951437,-0.00077341213148189559,0.015595135341504711,-0.0075848658613674258,0.22249780395534535,0.0,-0.02,0
2.4166292555990307,-0.010454473374258142,-0.00061746077806684849,0.013972245200257697,-0.0053598878218139717,0.21867546686183931,0.0,-0.02,0
2.4444053849595,-0.010757088678045335,-0.00047773832606427152,0.013484653897371097,-0.0031731331531955785,0.21525089695981536,0.0,-0.02,0
2.4721814996749774,-0.011061045227994318,-0.00034289178709056054,0.013053540111332192,-0.0010206241835974249,0.21194583473006753,0.0,-0.02,0
2.4999576056899353,-0.011365795810308034,-0.00021235638597723861,0.011812472487116584,0.0010988341637032505,0.2087464376439567,0.0,-0.02,0
2.5277337089015939,-0.011670801788783354,-9.4231661106072772e-05,0.010547156139732483,0.0031862985401428178,0.20585122379907519,0.0,-0.02,0
2.5555098151312707,-0.011975532800185828,1.1239900291252063e-05,0.0086239931576542351,0.0052448107781335697,-0.00027548775223651401,0.0,-0.02,-2
2.5832859300969564,-0.012279466484739973,9.7479831867794409e-05,0.0085983456027918237,0.0052420559006112043,-0.20593083582754862,0.0,0,-2
2.6110620593927996,-0.012582087720280037,0.00018346328789571264,0.0083272299732519098,0.0031827475423357181,-0.0044966492131301161,0.0,-0.02,2
2.6388382029493074,-0.012883397195517555,0.00026673558762823176,0.0069087656608488694,0.0031377810502044171,-0.21007926121383386,0.0,-0.02,-2
2.6666143551339938,-0.013183910231431768,0.00033582324423672043,0.0051522729963653802,0.0010369884380660786,-0.0082309618685469932,0.0,-0.02,2
2.6943905158026018,-0.013483638080108822,0.00038734597420037422,0.0047629802353519098,0.00095467881938060865,-0.21303539813962166,0.0,-0.02,-2
2.7221666792701278,-0.01378310643717107,0.00043497577655389333,0.0046888362530746221,-0.0011756751620156081,-0.010661170993967906,0.0,0,2
2.7499428453122676,-0.014082335899420425,0.00048186413908463956,0.0043196387561463415,-0.0012822868719552872,-0.21535201982796151,0.0,0,-2
2.7777190081835088,-0.014381859557721074,0.00052506052664610297,0.0029037855431149799,-0.0034358070702349025,-0.012869130555051483,0.0,-0.02,2
2.8054951675927575,-0.014681704090132581,0.0005540983820772528,0.0047314032254986184,-0.0035644983757854173,0.18996078156418975,0.0,0.02,2
2.8332713177075104,-0.014982408387268845,0.00060141241433223904,0.003901991776239165,-0.0016648905601435197,0.18880112391088127,0.0,-0.02,0
2.8610474581515044,-0.015284004652369659,0.00064043233209463068,0.0020023251652123127,0.00022312067896529311,0.18784475337748932,0.0,-0.02,0
2.8888235940687235,-0.015586017532542388,0.00066045558374675385,0.0010119873634836397,0.0021015682127401864,-0.016187636856538012,0.0,-0.02,-2
2.916599730592961,-0.015887974580008131,0.00067057545738159025,-0.00035063816403070841,0.0019396918441748063,-0.2199772972372005,0.0,-0.02,-2
